id,cpr,pais,nam,fna,fuc,ose,iko,ita,ana,thr,nom_ciudad,x,y
139,Cordoba,Argentina,RÃ­o Cuarto,Aeropuerto de Rio Cuarto - Ãrea de Material,,AA2000,SAOC,RCU,TRC,NAC,RÃ­o Cuarto,-64.2692882582764,-33.09433597571817
141,Buenos Aires,Argentina,San Fernando,Aeropuerto de San Fernando,sin vuelos regulares,AA2000,SADF,FDO,FDO,INTL,San Fernando,-58.58913955297556,-34.45309358485369
143,Buenos Aires,Argentina,Santa Teresita,Aeropuerto de Santa Teresita,sin vuelos regulares,Municipalidad de La Costa,SAZL,SST,STR,NAC,Santa Teresita,-56.72030577814635,-36.5425734151463
145,Buenos Aires,Argentina,Tandil,Aeropuerto de Tandil,sin vuelos regulares,Provincia de Buenos Aires,SAZT,TDL,DIL,NAC,Tandil,-59.22881289443511,-37.23622057975411
147,Salta,Argentina,Gral. E. Mosconi,Aeropuerto de Tartagal Gral Enrique Mosconi,sin vuelos regulares,Provincia de Salta,SAST,TTG,TAR,NAC,Tartagal,-63.793726869974215,-22.618638295242434
151,Buenos Aires,Argentina,Villa Gesell,Aeropuerto de Villa Gesell,sin vuelos regulares,Municipalidad de Villa Gesell,SAZV,VLG,GES,NAC,Villa Gesell,-57.02912394808962,-37.23491520247535
153,San Luis,Argentina,Villa Mercedes,Aeropuerto de Villa Reynolds,sin vuelos regulares,AA2000,SAOR,VME,RYD,NAC,Villa Mercedes,-65.38612810493274,-33.729806828699544
154,Sgo. del Ester,Argentina,RÃ­o Hondo,Aeropuerto de Termas de RÃ­o Hondo,Inaugurado 24/07/2012,AA2000,SANR,RHD,RHD,NAC,RÃ­o Hondo,-64.93794009624844,-27.509027634214064
157,Santa Cruz,Argentina,El Turbio/28 de Noviembre,Aeropuerto de RÃ­o Turbio/28 de Noviembre,Incorporado el 29/04/2015,Municipio de 28 de Noviembre,SAWT,RYO,BIO,NAC,El Turbio/28 de Noviembre,-72.2237137399497,-51.60478579302238
156,Buenos Aires,Argentina,Buenos Aires,Aeropuerto El Palomar,Incorporado el 26/12/2017,AA2000,SADP,EPA,PAL,NAC,El Palomar,-58.60452790226557,-34.61023519799679
